dataset,num_hashes,hash_family,num_bands,rows_per_band,group,mean_similarity,num_pairs,num_hash_seeds,empirical_probability,empirical_standard_deviation,theoretical_probability,absolute_gap,bin_lower,bin_upper
reuters,200,murmur,50,4,9,0.483808,8,5,0.975000,0.055902,0.939194,0.035806,0.450000,0.500000
reuters,200,murmur,50,4,10,0.512537,3,5,1.000000,0.000000,0.971410,0.028590,0.500000,0.550000
reuters,200,murmur,50,4,11,0.574280,6,5,1.000000,0.000000,0.996194,0.003806,0.550000,0.600000
reuters,200,murmur,50,4,12,0.623110,6,5,1.000000,0.000000,0.999623,0.000377,0.600000,0.650000
reuters,200,murmur,50,4,13,0.661576,10,5,1.000000,0.000000,0.999973,0.000027,0.650000,0.700000
reuters,200,murmur,50,4,14,0.715536,4,5,1.000000,0.000000,1.000000,0.000000,0.700000,0.750000
reuters,200,murmur,50,4,15,0.776924,4,5,1.000000,0.000000,1.000000,0.000000,0.750000,0.800000
reuters,200,murmur,50,4,16,0.825350,5,5,1.000000,0.000000,1.000000,0.000000,0.800000,0.850000
reuters,200,murmur,50,4,17,0.873150,7,5,1.000000,0.000000,1.000000,0.000000,0.850000,0.900000
reuters,200,murmur,50,4,18,0.915924,3,5,1.000000,0.000000,1.000000,0.000000,0.900000,0.950000
reuters,200,murmur,50,4,19,0.996480,47,5,1.000000,0.000000,1.000000,0.000000,0.950000,1.000000
reuters,200,murmur,100,2,0,0.000046,50000,5,0.000040,0.000024,0.000066,0.000026,0.000000,0.050000
reuters,200,murmur,100,2,1,0.065911,787,5,0.357814,0.054108,0.353567,0.004248,0.050000,0.100000
reuters,200,murmur,100,2,2,0.121062,192,5,0.752083,0.052936,0.762726,0.010643,0.100000,0.150000
reuters,200,murmur,100,2,3,0.175181,77,5,0.945455,0.032337,0.950981,0.005526,0.150000,0.200000
reuters,200,murmur,100,2,4,0.220258,41,5,0.995122,0.010908,0.991978,0.003144,0.200000,0.250000
reuters,200,murmur,100,2,5,0.269003,42,5,1.000000,0.000000,0.999254,0.000746,0.250000,0.300000
reuters,200,murmur,100,2,6,0.325412,21,5,1.000000,0.000000,0.999980,0.000020,0.300000,0.350000
reuters,200,murmur,100,2,7,0.372409,14,5,1.000000,0.000000,0.999999,0.000001,0.350000,0.400000
reuters,200,murmur,100,2,8,0.424001,7,5,1.000000,0.000000,1.000000,0.000000,0.400000,0.450000
reuters,200,murmur,100,2,9,0.483808,8,5,1.000000,0.000000,1.000000,0.000000,0.450000,0.500000
reuters,200,murmur,100,2,10,0.512537,3,5,1.000000,0.000000,1.000000,0.000000,0.500000,0.550000
reuters,200,murmur,100,2,11,0.574280,6,5,1.000000,0.000000,1.000000,0.000000,0.550000,0.600000
reuters,200,murmur,100,2,12,0.623110,6,5,1.000000,0.000000,1.000000,0.000000,0.600000,0.650000
reuters,200,murmur,100,2,13,0.661576,10,5,1.000000,0.000000,1.000000,0.000000,0.650000,0.700000
reuters,200,murmur,100,2,14,0.715536,4,5,1.000000,0.000000,1.000000,0.000000,0.700000,0.750000
reuters,200,murmur,100,2,15,0.776924,4,5,1.000000,0.000000,1.000000,0.000000,0.750000,0.800000
reuters,200,murmur,100,2,16,0.825350,5,5,1.000000,0.000000,1.000000,0.000000,0.800000,0.850000
reuters,200,murmur,100,2,17,0.873150,7,5,1.000000,0.000000,1.000000,0.000000,0.850000,0.900000
reuters,200,murmur,100,2,18,0.915924,3,5,1.000000,0.000000,1.000000,0.000000,0.900000,0.950000
reuters,200,murmur,100,2,19,0.996480,47,5,1.000000,0.000000,1.000000,0.000000,0.950000,1.000000
