dataset,num_hashes,hash_family,num_bands,rows_per_band,group,mean_similarity,num_pairs,num_hash_seeds,empirical_probability,empirical_standard_deviation,theoretical_probability,absolute_gap,bin_lower,bin_upper
20_newsgroups,200,murmur,50,4,7,0.371188,20,5,0.500000,0.150000,0.615373,0.115373,0.350000,0.400000
20_newsgroups,200,murmur,50,4,8,0.421061,10,5,0.700000,0.100000,0.794442,0.094442,0.400000,0.450000
20_newsgroups,200,murmur,50,4,9,0.477807,10,5,0.900000,0.100000,0.929258,0.029258,0.450000,0.500000
20_newsgroups,200,murmur,50,4,10,0.528271,3,5,0.933333,0.149071,0.981407,0.048073,0.500000,0.550000
20_newsgroups,200,murmur,50,4,11,0.582740,5,5,1.000000,0.000000,0.997635,0.002365,0.550000,0.600000
20_newsgroups,200,murmur,50,4,12,0.622848,3,5,1.000000,0.000000,0.999584,0.000416,0.600000,0.650000
20_newsgroups,200,murmur,50,4,14,0.739548,2,5,1.000000,0.000000,1.000000,0.000000,0.700000,0.750000
20_newsgroups,200,murmur,50,4,15,0.761379,3,5,1.000000,0.000000,1.000000,0.000000,0.750000,0.800000
20_newsgroups,200,murmur,50,4,16,0.819946,2,5,1.000000,0.000000,1.000000,0.000000,0.800000,0.850000
20_newsgroups,200,murmur,50,4,17,0.876543,1,5,1.000000,0.000000,1.000000,0.000000,0.850000,0.900000
20_newsgroups,200,murmur,50,4,18,0.924658,1,5,1.000000,0.000000,1.000000,0.000000,0.900000,0.950000
20_newsgroups,200,murmur,50,4,19,1.000000,5,5,1.000000,0.000000,1.000000,0.000000,0.950000,1.000000
20_newsgroups,200,murmur,100,2,0,0.000002,50000,5,0.000004,0.000009,0.000002,0.000002,0.000000,0.050000
20_newsgroups,200,murmur,100,2,1,0.076129,144,5,0.455556,0.071935,0.439624,0.015932,0.050000,0.100000
20_newsgroups,200,murmur,100,2,2,0.120117,87,5,0.800000,0.022406,0.757311,0.042689,0.100000,0.150000
20_newsgroups,200,murmur,100,2,3,0.174622,85,5,0.950588,0.038483,0.950102,0.000487,0.150000,0.200000
20_newsgroups,200,murmur,100,2,4,0.224755,69,5,0.994203,0.007938,0.993331,0.000872,0.200000,0.250000
20_newsgroups,200,murmur,100,2,5,0.270292,57,5,1.000000,0.000000,0.999295,0.000705,0.250000,0.300000
20_newsgroups,200,murmur,100,2,6,0.328032,20,5,1.000000,0.000000,0.999985,0.000015,0.300000,0.350000
20_newsgroups,200,murmur,100,2,7,0.371188,20,5,1.000000,0.000000,0.999999,0.000001,0.350000,0.400000
20_newsgroups,200,murmur,100,2,8,0.421061,10,5,1.000000,0.000000,1.000000,0.000000,0.400000,0.450000
20_newsgroups,200,murmur,100,2,9,0.477807,10,5,1.000000,0.000000,1.000000,0.000000,0.450000,0.500000
20_newsgroups,200,murmur,100,2,10,0.528271,3,5,1.000000,0.000000,1.000000,0.000000,0.500000,0.550000
20_newsgroups,200,murmur,100,2,11,0.582740,5,5,1.000000,0.000000,1.000000,0.000000,0.550000,0.600000
20_newsgroups,200,murmur,100,2,12,0.622848,3,5,1.000000,0.000000,1.000000,0.000000,0.600000,0.650000
20_newsgroups,200,murmur,100,2,14,0.739548,2,5,1.000000,0.000000,1.000000,0.000000,0.700000,0.750000
20_newsgroups,200,murmur,100,2,15,0.761379,3,5,1.000000,0.000000,1.000000,0.000000,0.750000,0.800000
20_newsgroups,200,murmur,100,2,16,0.819946,2,5,1.000000,0.000000,1.000000,0.000000,0.800000,0.850000
20_newsgroups,200,murmur,100,2,17,0.876543,1,5,1.000000,0.000000,1.000000,0.000000,0.850000,0.900000
20_newsgroups,200,murmur,100,2,18,0.924658,1,5,1.000000,0.000000,1.000000,0.000000,0.900000,0.950000
20_newsgroups,200,murmur,100,2,19,1.000000,5,5,1.000000,0.000000,1.000000,0.000000,0.950000,1.000000
