dataset,num_hashes,hash_family,num_bands,rows_per_band,group,mean_similarity,num_pairs,num_hash_seeds,empirical_probability,empirical_standard_deviation,theoretical_probability,absolute_gap
20_newsgroups,200,murmur,50,4,0.750000,0.750121,30,5,1.000000,0.000000,1.000000,0.000000
20_newsgroups,200,murmur,50,4,0.800000,0.802466,30,5,1.000000,0.000000,1.000000,0.000000
20_newsgroups,200,murmur,50,4,0.850000,0.849822,30,5,1.000000,0.000000,1.000000,0.000000
20_newsgroups,200,murmur,50,4,0.900000,0.900708,30,5,1.000000,0.000000,1.000000,0.000000
20_newsgroups,200,murmur,50,4,0.950000,0.947777,30,5,1.000000,0.000000,1.000000,0.000000
20_newsgroups,200,murmur,100,2,0.050000,0.050323,30,5,0.206667,0.076012,0.224305,0.017639
20_newsgroups,200,murmur,100,2,0.100000,0.100609,30,5,0.626667,0.095452,0.638211,0.011544
20_newsgroups,200,murmur,100,2,0.150000,0.150165,30,5,0.913333,0.038006,0.897464,0.015870
20_newsgroups,200,murmur,100,2,0.200000,0.199800,30,5,0.966667,0.040825,0.982896,0.016230
20_newsgroups,200,murmur,100,2,0.250000,0.249644,30,5,1.000000,0.000000,0.998365,0.001635
20_newsgroups,200,murmur,100,2,0.300000,0.300256,30,5,1.000000,0.000000,0.999920,0.000080
20_newsgroups,200,murmur,100,2,0.350000,0.350164,30,5,1.000000,0.000000,0.999998,0.000002
20_newsgroups,200,murmur,100,2,0.400000,0.399467,30,5,1.000000,0.000000,1.000000,0.000000
20_newsgroups,200,murmur,100,2,0.450000,0.450260,30,5,1.000000,0.000000,1.000000,0.000000
20_newsgroups,200,murmur,100,2,0.500000,0.500333,30,5,1.000000,0.000000,1.000000,0.000000
20_newsgroups,200,murmur,100,2,0.550000,0.548966,30,5,1.000000,0.000000,1.000000,0.000000
20_newsgroups,200,murmur,100,2,0.600000,0.599432,30,5,1.000000,0.000000,1.000000,0.000000
20_newsgroups,200,murmur,100,2,0.650000,0.649416,30,5,1.000000,0.000000,1.000000,0.000000
20_newsgroups,200,murmur,100,2,0.700000,0.699463,30,5,1.000000,0.000000,1.000000,0.000000
20_newsgroups,200,murmur,100,2,0.750000,0.750121,30,5,1.000000,0.000000,1.000000,0.000000
20_newsgroups,200,murmur,100,2,0.800000,0.802466,30,5,1.000000,0.000000,1.000000,0.000000
20_newsgroups,200,murmur,100,2,0.850000,0.849822,30,5,1.000000,0.000000,1.000000,0.000000
20_newsgroups,200,murmur,100,2,0.900000,0.900708,30,5,1.000000,0.000000,1.000000,0.000000
20_newsgroups,200,murmur,100,2,0.950000,0.947777,30,5,1.000000,0.000000,1.000000,0.000000
